ApsimVersion = 7.7
Title = swcon_Otorohanga571
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     02/07/2009          0.000          0.000          0.546          0.547          0.553          0.554          0.558          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     03/07/2009          0.000          0.000          0.545          0.546          0.552          0.553          0.557          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     04/07/2009          0.000          0.000          0.544          0.545          0.551          0.552          0.556          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     05/07/2009          0.000          0.000          0.543          0.544          0.550          0.551          0.555          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     06/07/2009          0.000          0.000          0.542          0.543          0.549          0.550          0.554          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     07/07/2009          0.000          0.000          0.541          0.543          0.548          0.549          0.553          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     08/07/2009          0.000          0.000          0.540          0.542          0.548          0.549          0.553          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     09/07/2009          0.000          0.000          0.540          0.541          0.547          0.548          0.552          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     10/07/2009          0.000          0.000          0.539          0.540          0.546          0.547          0.551          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     11/07/2009          0.000          0.000          0.538          0.540          0.546          0.547          0.551          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     12/07/2009          0.000          0.000          0.537          0.539          0.545          0.546          0.550          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     13/07/2009          0.000          0.000          0.537          0.538          0.544          0.545          0.550          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     14/07/2009          0.000          0.000          0.536          0.538          0.544          0.545          0.549          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     15/07/2009          0.000          0.000          0.536          0.537          0.543          0.544          0.548          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     16/07/2009          0.000          0.000          0.535          0.536          0.542          0.543          0.548          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     17/07/2009          0.000          0.000          0.535          0.536          0.542          0.543          0.547          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
     18/07/2009          0.000          0.000          0.534          0.535          0.541          0.542          0.547          0.508          0.508          0.508          0.508          0.508          0.639          0.639          0.639          0.639          0.639
