ApsimVersion = 7.7
Title = swcon_Oronoko1281
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)   sat(6-10)(1)   sat(6-10)(2)   sat(6-10)(3)   sat(6-10)(4)   sat(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     07/07/2009          0.000          0.000          0.397          0.398          0.401          0.402          0.404          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     08/07/2009          0.000          0.000          0.397          0.397          0.401          0.401          0.404          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     09/07/2009          0.000          0.000          0.396          0.397          0.400          0.401          0.403          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     10/07/2009          0.000          0.000          0.396          0.397          0.400          0.400          0.403          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     11/07/2009          0.000          0.000          0.395          0.396          0.399          0.400          0.403          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     12/07/2009          0.000          0.000          0.395          0.396          0.399          0.400          0.402          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     13/07/2009          0.000          0.000          0.395          0.395          0.399          0.399          0.402          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     14/07/2009          0.000          0.000          0.394          0.395          0.398          0.399          0.401          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     15/07/2009          0.000          0.000          0.394          0.395          0.398          0.399          0.401          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     16/07/2009          0.000          0.000          0.394          0.394          0.398          0.398          0.401          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     17/07/2009          0.000          0.000          0.393          0.394          0.397          0.398          0.400          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     18/07/2009          0.000          0.000          0.393          0.394          0.397          0.397          0.400          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     19/07/2009          0.000          0.000          0.393          0.393          0.397          0.397          0.400          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     20/07/2009          0.000          0.000          0.392          0.393          0.396          0.397          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     21/07/2009          0.000          0.000          0.392          0.393          0.396          0.397          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     22/07/2009          0.000          0.000          0.392          0.393          0.396          0.396          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     23/07/2009          0.000          0.000          0.392          0.392          0.395          0.396          0.399          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     24/07/2009          0.000          0.000          0.391          0.392          0.395          0.396          0.398          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     25/07/2009          0.000          0.000          0.391          0.392          0.395          0.396          0.398          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     26/07/2009          0.000          0.000          0.391          0.391          0.395          0.395          0.398          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     27/07/2009          0.000          0.000          0.390          0.391          0.394          0.395          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     28/07/2009          0.000          0.000          0.390          0.391          0.394          0.395          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     29/07/2009          0.000          0.000          0.390          0.391          0.394          0.394          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     30/07/2009          0.000          0.000          0.390          0.390          0.394          0.394          0.397          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     31/07/2009          0.000          0.000          0.390          0.390          0.393          0.394          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     01/08/2009          0.000          0.000          0.389          0.390          0.393          0.394          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     02/08/2009          0.000          0.000          0.389          0.390          0.393          0.394          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     03/08/2009          0.000          0.000          0.389          0.390          0.393          0.393          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     04/08/2009          0.000          0.000          0.389          0.389          0.392          0.393          0.396          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     05/08/2009          0.000          0.000          0.388          0.389          0.392          0.393          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     06/08/2009          0.000          0.000          0.388          0.389          0.392          0.393          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     07/08/2009          0.000          0.000          0.388          0.389          0.392          0.392          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     08/08/2009          0.000          0.000          0.388          0.388          0.392          0.392          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     09/08/2009          0.000          0.000          0.388          0.388          0.391          0.392          0.395          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     10/08/2009          0.000          0.000          0.387          0.388          0.391          0.392          0.394          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     11/08/2009          0.000          0.000          0.387          0.388          0.391          0.392          0.394          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     12/08/2009          0.000          0.000          0.387          0.388          0.391          0.391          0.394          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     13/08/2009          0.000          0.000          0.387          0.388          0.391          0.391          0.394          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     14/08/2009          0.000          0.000          0.387          0.387          0.390          0.391          0.394          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     15/08/2009          0.000          0.000          0.386          0.387          0.390          0.391          0.393          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     16/08/2009          0.000          0.000          0.386          0.387          0.390          0.391          0.393          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     17/08/2009          0.000          0.000          0.386          0.387          0.390          0.390          0.393          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     18/08/2009          0.000          0.000          0.386          0.387          0.390          0.390          0.393          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     19/08/2009          0.000          0.000          0.386          0.386          0.390          0.390          0.393          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     20/08/2009          0.000          0.000          0.386          0.386          0.389          0.390          0.392          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     21/08/2009          0.000          0.000          0.386          0.386          0.389          0.390          0.392          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     22/08/2009          0.000          0.000          0.385          0.386          0.389          0.390          0.392          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     23/08/2009          0.000          0.000          0.385          0.386          0.389          0.389          0.392          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     24/08/2009          0.000          0.000          0.385          0.386          0.389          0.389          0.392          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     25/08/2009          0.000          0.000          0.385          0.386          0.389          0.389          0.392          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     26/08/2009          0.000          0.000          0.385          0.385          0.388          0.389          0.391          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     27/08/2009          0.000          0.000          0.385          0.385          0.388          0.389          0.391          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     28/08/2009          0.000          0.000          0.384          0.385          0.388          0.389          0.391          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     29/08/2009          0.000          0.000          0.384          0.385          0.388          0.388          0.391          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     30/08/2009          0.000          0.000          0.384          0.385          0.388          0.388          0.391          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     31/08/2009          0.000          0.000          0.384          0.385          0.388          0.388          0.391          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     01/09/2009          0.000          0.000          0.384          0.385          0.387          0.388          0.390          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     02/09/2009          0.000          0.000          0.384          0.384          0.387          0.388          0.390          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     03/09/2009          0.000          0.000          0.384          0.384          0.387          0.388          0.390          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     04/09/2009          0.000          0.000          0.383          0.384          0.387          0.388          0.390          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     05/09/2009          0.000          0.000          0.383          0.384          0.387          0.387          0.390          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     06/09/2009          0.000          0.000          0.383          0.384          0.387          0.387          0.390          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     07/09/2009          0.000          0.000          0.383          0.384          0.387          0.387          0.390          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     08/09/2009          0.000          0.000          0.383          0.384          0.386          0.387          0.389          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     09/09/2009          0.000          0.000          0.383          0.383          0.386          0.387          0.389          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     10/09/2009          0.000          0.000          0.383          0.383          0.386          0.387          0.389          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     11/09/2009          0.000          0.000          0.383          0.383          0.386          0.387          0.389          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     12/09/2009          0.000          0.000          0.383          0.383          0.386          0.386          0.389          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     13/09/2009          0.000          0.000          0.382          0.383          0.386          0.386          0.389          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     14/09/2009          0.000          0.000          0.382          0.383          0.386          0.386          0.389          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     15/09/2009          0.000          0.000          0.382          0.383          0.386          0.386          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     16/09/2009          0.000          0.000          0.382          0.383          0.385          0.386          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     17/09/2009          0.000          0.000          0.382          0.383          0.385          0.386          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     18/09/2009          0.000          0.000          0.382          0.382          0.385          0.386          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     19/09/2009          0.000          0.000          0.382          0.382          0.385          0.386          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     20/09/2009          0.000          0.000          0.382          0.382          0.385          0.385          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     21/09/2009          0.000          0.000          0.381          0.382          0.385          0.385          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     22/09/2009          0.000          0.000          0.381          0.382          0.385          0.385          0.388          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     23/09/2009          0.000          0.000          0.381          0.382          0.385          0.385          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     24/09/2009          0.000          0.000          0.381          0.382          0.384          0.385          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     25/09/2009          0.000          0.000          0.381          0.382          0.384          0.385          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     26/09/2009          0.000          0.000          0.381          0.382          0.384          0.385          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     27/09/2009          0.000          0.000          0.381          0.381          0.384          0.385          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     28/09/2009          0.000          0.000          0.381          0.381          0.384          0.385          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     29/09/2009          0.000          0.000          0.381          0.381          0.384          0.384          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     30/09/2009          0.000          0.000          0.381          0.381          0.384          0.384          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     01/10/2009          0.000          0.000          0.380          0.381          0.384          0.384          0.387          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     02/10/2009          0.000          0.000          0.380          0.381          0.384          0.384          0.386          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     03/10/2009          0.000          0.000          0.380          0.381          0.384          0.384          0.386          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
     04/10/2009          0.000          0.000          0.380          0.381          0.383          0.384          0.386          0.382          0.382          0.382          0.382          0.382          0.453          0.453          0.453          0.453          0.453
